"Statistics name :","Prefectural Data Social Indicators by Prefecture"
"Table Number :","0000010204"
"Title :","[System of Social and Demographic Statistics] System of Social and Demographic Statistics D Administrative Base"
"Implementation date :","-","-"
"Cities, Towns and Villages :","-"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","/D Administrative Base Code","#D0110101","#D01102","#D0120101","#D0130201","#D01401","#D0140201","#D0140301","#D0210101","#D0210201","#D0210301","#D0220103","#D02202","#D02204","#D02206","#D02207","#D0310301","#D0310401","#D0310501","#D0310601","#D0310701","#D0310801","#D0310901","#D0311001","#D0311101","#D0311201","#D03113","#D03114","#D0311501","#D0312301","#D0320101","#D0320201","#D0320301","#D0330103","#D0330203","#D0330303","#D0330403","#D0330503","#D0330603","#D0330703","#D0331103","#D03312","#D03313","#D0331403","#D0331503","#D0331603","#D0331703","#D0331804","#D0331903","#D0332003","#D0332103"
"SURVEY YEAR Code","SURVEY YEAR","AREA Code","AREA","/D Administrative Base","#D0110101_Financial power index (Prefecture)[-]","#D01102_Real term balance of revenue to expenditure (Prefecture)[%]","#D0120101_Percentage of self-financial resources (Prefecture)[%]","#D0130201_Percentage of outstanding amount of local bonds to expenditure (Prefecture)[%]","#D01401_Real term of current balance (Prefecture)[%]","#D0140201_Percentage of investment expenditure (Prefecture)[%]","#D0140301_Percentage of revenues from local taxes and grants (Prefecture)[%]","#D0210101_Percentage of local taxes (Prefecture)[%]","#D0210201_Percentage of grants to local governments (Prefecture)[%]","#D0210301_Percentage of national disbursements (Prefecture)[%]","#D0220103_Resident tax per capita (Prefecture + Municipality)[thousand yen]","#D02202_Fixed assets tax per capita (Prefecture + Municipality)[thousand yen]","#D02204_Amount of national tax (per capita)[thousand yen]","#D02206_Taxable income (per tax debtor)[thousand yen]","#D02207_Ratio of taxpayer (per capita)[%]","#D0310301_Percentage of welfare expenditure (Prefecture)[%]","#D0310401_Percentage of social welfare expenditure (Prefecture)[%]","#D0310501_Percentage of welfare expenditure for the aged (Prefecture)[%]","#D0310601_Percentage of welfare expenditure for children (Prefecture)[%]","#D0310701_Percentage of expenditure for livelihood protection (Prefecture)[%]","#D0310801_Percentage of health expenditure (Prefecture)[%]","#D0310901_Percentage of labour expenditure (Prefecture)[%]","#D0311001_Percentage of agriculture, forestry and fishery expenditure (Prefecture)[%]","#D0311101_Percentage of commerce and manufacturing expenditure (Prefecture)[%]","#D0311201_Percentage of public works expenditure (Prefecture)[%]","#D03113_Percentage of police expenditure (Prefecture)[%]","#D03114_Percentage of fire service expenditure (Tokyo-to + Municipality)[%]","#D0311501_Percentage of education expenditure (Prefecture)[%]","#D0312301_Percentage of disaster relief expenditure (Prefecture)[%]","#D0320101_Percentage of personnel expenses (Prefecture)[%]","#D0320201_Percentage of allowances (Prefecture)[%]","#D0320301_Percentage of ordinary construction expenses (Prefecture)[%]","#D0330103_Total expenditure per capita (Prefecture + Municipality)[thousand yen]","#D0330203_Welfare expenditure per capita (Prefecture + Municipality)[thousand yen]","#D0330303_Social welfare expenditure per capita (Prefecture + Municipality)[thousand yen]","#D0330403_Social welfare expenditure for aged persons per capita 65 years old and over (Prefecture + Municipality)[thousand yen]","#D0330503_Welfare expenditure for children per capita 0-17 years old (Prefecture + Municipality)[thousand yen]","#D0330603_Welfare expenditure for livelihood protection per person assisted by livelihood protection (Prefecture + Municipality)[thousand yen]","#D0330703_Health expenditure per capita (Prefecture + Municipality)[thousand yen]","#D0331103_Public works expenditure per capita (Prefecture + Municipality)[thousand yen]","#D03312_Police expenditure per capita (Prefecture)[thousand yen]","#D03313_Fire service expenditure per capita (Tokyo-to + Municipality)[thousand yen]","#D0331403_Education expenditure per capita (Prefecture + Municipality)[thousand yen]","#D0331503_Elementary school expenditure per student (Prefecture + Municipality)[thousand yen]","#D0331603_Lower secondary school expenditure per student (Prefecture + Municipality)[thousand yen]","#D0331703_Upper secondary school expenditure per student (Prefecture + Municipality)[thousand yen]","#D0331804_Expenditure for schools for special needs education per student (Prefecture + Municipality)[thousand yen]","#D0331903_Kindergarten expenditure per pupil (Prefecture + Municipality)[thousand yen]","#D0332003_Social education expenditure per capita (Prefecture + Municipality)[thousand yen]","#D0332103_Disaster relief expenditure per capita (Prefecture + Municipality)[thousand yen]"
"1975100000","1975","00000","All Japan","","0.506","-0.5","44.3","35.8","85.3","30.0","47.4","29.57","16.53","27.01","26.5","***","***","***","***","5.96","1.57","1.16","1.75","1.45","5.07","1.06","10.76","4.87","19.01","7.29","***","31.27","2.35","41.96","3.68","27.33","243.7","27.2","5.3","68.6","33.6","562.8","16.8","46.5","9.4","***","62.5","254.9","314.0","385.5","***","50.2","2.7","4.5"
"1975100000","1975","01000","Hokkaido","","0.448","0.2","34.4","17.3","85.7","35.4","43.0","18.62","22.73","35.87","20.2","***","***","***","***","5.66","0.96","0.96","1.30","2.41","3.81","0.90","20.92","4.26","16.66","5.74","***","29.92","3.94","39.21","4.49","31.18","306.2","31.6","5.5","99.9","26.8","606.6","17.5","56.6","8.8","***","71.1","278.8","350.6","377.5","***","29.8","2.6","9.2"
"1975100000","1975","02000","Aomori-ken","","0.258","0.9","21.0","29.1","80.8","41.0","43.3","11.32","30.72","38.20","12.9","***","***","***","***","5.98","0.81","0.78","1.72","2.53","3.88","0.75","16.76","2.37","19.34","4.43","***","30.76","8.01","38.29","5.47","32.76","291.5","32.0","3.7","66.4","39.5","472.5","16.4","49.5","7.5","***","74.5","260.6","292.9","360.1","***","21.6","4.0","18.8"
"1975100000","1975","03000","Iwate-ken","","0.253","0.2","23.5","28.7","77.0","33.8","45.5","11.64","32.05","32.25","13.7","***","***","***","***","5.85","1.08","0.83","1.79","2.15","5.78","0.64","18.54","4.47","18.29","4.35","***","32.99","1.17","41.38","4.11","32.58","287.9","28.8","5.1","68.9","35.9","442.3","17.8","48.8","7.5","***","77.5","282.2","313.7","348.4","***","36.0","3.4","2.9"
"1975100000","1975","04000","Miyagi-ken","","0.500","-0.7","35.7","31.8","85.9","29.7","47.5","23.55","22.57","29.54","20.5","***","***","***","***","5.99","1.14","0.94","1.92","1.99","3.66","0.93","15.13","3.52","17.28","6.52","***","34.32","1.50","46.26","4.29","28.05","221.5","19.9","3.4","58.2","24.5","495.1","15.7","37.7","8.0","***","61.2","236.2","277.5","344.5","***","28.3","2.8","2.5"
"1975100000","1975","05000","Akita-ken","","0.253","-0.5","23.8","28.4","81.4","39.0","43.5","11.42","30.79","35.70","13.4","***","***","***","***","6.13","1.98","0.65","1.71","1.76","3.77","0.83","19.39","4.21","19.78","4.77","***","28.01","5.63","36.88","3.85","33.19","297.1","28.7","7.1","66.7","32.0","532.4","14.3","51.7","8.7","***","72.5","297.6","329.1","335.9","***","39.9","3.7","13.3"
"1975100000","1975","06000","Yamagata-ken","","0.272","-0.8","27.2","24.9","78.3","38.5","44.8","12.81","30.45","33.76","14.5","***","***","***","***","4.67","1.57","0.75","1.41","0.89","4.41","0.82","14.95","5.47","19.77","5.06","***","29.68","5.30","38.75","2.71","33.04","277.3","23.2","5.3","52.6","30.4","426.2","17.0","49.2","8.7","***","69.6","312.8","310.5","405.6","***","12.4","3.6","11.8"
"1975100000","1975","07000","Fukushima-ken","","0.344","-0.2","30.6","24.1","76.9","32.5","46.9","16.59","28.43","32.88","14.8","***","***","***","***","4.52","0.95","0.56","1.38","1.62","4.62","1.08","14.54","4.90","20.53","4.79","***","34.31","2.69","43.75","3.84","29.08","253.2","21.8","3.9","48.9","25.0","539.8","14.6","48.7","7.1","***","69.5","259.3","283.3","303.6","***","58.1","2.6","5.0"
"1975100000","1975","08000","Ibaraki-ken","","0.556","0.5","46.2","23.5","87.0","34.0","42.3","22.85","17.75","28.25","18.1","***","***","***","***","5.11","1.67","0.74","1.42","1.28","4.40","0.61","11.49","3.29","27.72","5.21","***","33.27","0.57","41.33","3.29","33.45","223.6","19.4","4.9","47.9","24.2","489.5","13.8","50.5","6.7","***","63.5","262.9","259.9","334.6","***","82.7","3.2","0.9"
