"Statistics name :","Prefectural Data Social Indicators by Prefecture"
"Table Number :","0000010212"
"Title :","[System of Social and Demographic Statistics] System of Social and Demographic Statistics L Family Budget"
"Implementation date :","-","-"
"Cities, Towns and Villages :","-"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","/L Family Budget Code","#L01100","#L0110101","#L0110102","#L01201","#L01204","#L02101","#L02211","#L02411","#L02412","#L02413","#L02414","#L02415","#L02416","#L02417","#L02418","#L02419","#L02420","#L02601","#L02602","#L02734","#L02735","#L02736","#L03201","#L03212","#L03213","#L03214","#L03401","#L03412","#L03602","#L03603","#L03606","#L03607","#L03609","#L03611","#L03613","#L03614","#L03615","#L04101","#L04102","#L04103","#L04104","#L04105","#L04106","#L04107","#L04108","#L04109","#L04110","#L04111","#L04112","#L04113","#L04114","#L04115","#L04201","#L0420101","#L04203","#L0420303","#L04302","#L04304","#L04306","#L04414","#L04415","#L04416","#L04417","#L04418","#L04419","#L04420","#L04421","#L04422","#L04423","#L04424","#L04425","#L07201","#L07212","#L07213","#L07214","#L07401","#L07412","#L07601","#L07602"
"SURVEY YEAR Code","SURVEY YEAR","AREA Code","AREA","/L Family Budget","#L01100_Total income of farm household[thousand yen]","#L0110101_Percentage of agricultural income[%]","#L0110102_Percentage of non-agricultural income[%]","#L01201_Monthly income per household (Two-or-more-person households - Workers' households)[thousand yen]","#L01204_Monthly income of household head per household (Two-or-more-person households - Workers' households)[thousand yen]","#L02101_Monthly expenditure for household per farmer's household[thousand yen]","#L02211_Monthly living expenditure per household (Two-or-more-person households)[thousand yen]","#L02411_Percentage of expenditure for food (Two-or-more-person households)[%]","#L02412_Percentage of expenditure for housing (Two-or-more-person households)[%]","#L02413_Percentage of expenditure for fuel, light and water charges (Two-or-more-person households)[%]","#L02414_Percentage of expenditure for furniture and household utensils (Two-or-more-person households)[%]","#L02415_Percentage of expenditure for clothes and footwear (Two-or-more-person households)[%]","#L02416_Percentage of expenditure for medical care  (Two-or-more-person households)[%]","#L02417_Percentage of expenditure for transportation and communication (Two-or-more-person households)[%]","#L02418_Percentage of expenditure for education (Two-or-more-person households)[%]","#L02419_Percentage of expenditure for reading and recreation (Two-or-more-person households)[%]","#L02420_Percentage of expenditure for other living (Two-or-more-person households)[%]","#L02601_Monthly propensity to consume of farmer's household[%]","#L02602_Monthly propensity to consume (Two-or-more-person households - Workers' households)[%]","#L02734_Percentage of net savings and insurance to disposable income (Two-or-more-person households - Workers' households)[%]","#L02735_Percentage of net savings to disposable income (Two-or-more-person households - Workers' households)[%]","#L02736_Percentage of net decrease in debts for houses and land to disposable income (Two-or-more-person households - Workers' households)[%]","#L03201_Amount of savings per household (Two-or-more-person households)[thousand yen]","#L03212_Percentage of deposits (Two-or-more-person households)[%]","#L03213_Percentage of life insurance savings (Two-or-more-person households)[%]","#L03214_Percentage of securities savings (Two-or-more-person households)[%]","#L03401_Liabilities per household (Two-or-more-person households)[thousand yen]","#L03412_Percentage of liabilities for houses and land (Two-or-more-person households)[%]","#L03602_Number of microwave ovens per 1,000 households (Two-or-more-person households)[quantities]","#L03603_Number of room air-conditioners per 1,000 households (Two-or-more-person households)[quantities]","#L03606_Number of pianos  and electronic pianos per 1,000 households (Two-or-more-person households)   1)[quantities]","#L03607_Number of cars per 1,000 households (Two-or-more-person households)[quantities]","#L03609_Number of stereo sets or CD and MD radio cassette recorders 1,000 households (All households)[quantities]","#L03611_Number of cellular phones per 1,000 households (All households)[quantities]","#L03613_Number of personal computers per 1,000 households (Two-or-more-person households)[quantities]","#L03614_Number of personal computers (tablet) per 1,000 households (Two-or-more-person households)[quantities]","#L03615_Number of smart phones per 1,000 households (Two-or-more-person households)[quantities]","#L04101_Rate of Change in CPI (All items)[%]","#L04102_Rate of Change in CPI (All items, less imputed rent)[%]","#L04103_Rate of Change in CPI (All items, less fresh food)[%]","#L04104_Rate of Change in CPI (Food)[%]","#L04105_Rate of Change in CPI (Housing)[%]","#L04106_Rate of Change in CPI (Fuel, light and water charges)[%]","#L04107_Rate of Change in CPI (Furniture and household utensils)[%]","#L04108_Rate of Change in CPI (Clothes and footwear)[%]","#L04109_Rate of Change in CPI (Medical care)[%]","#L04110_Rate of Change in CPI (Transportation and communication)[%]","#L04111_Rate of Change in CPI (Education)[%]","#L04112_Rate of Change in CPI (Reading and recreation)[%]","#L04113_Rate of Change in CPI (Miscellaneous)[%]","#L04114_Rate of Change in CPI (All items, less food (less alcoholic beverages) and energy)[%]","#L04115_Rate of Change in CPI (All items, less fresh food and energy)[%]","#L04201_Regional difference index of consumer prices (General : ku-area of Tokyo = 100)[-]","#L0420101_Regional Difference Index of Consumer Prices (General : average of 51 cities = 100)[-]","#L04203_Regional Difference Index of Consumer Prices (Food : ku-area of Tokyo = 100)[-]","#L0420303_Regional Difference Index of Consumer Prices (Food : average of 51 cities = 100)[-]","#L04302_Annual increase rate of land prices (Residential)[%]","#L04304_Annual increase rate of land prices (Commercial)[%]","#L04306_Annual increase rate of land prices (Industrial)[%]","#L04414_Regional Difference Index of Consumer Prices (All items)[-]","#L04415_Regional Difference Index of Consumer Prices (All items, less rent)[-]","#L04416_Regional Difference Index of Consumer Prices (Food)[-]","#L04417_Regional Difference Index of Consumer Prices (Housing)[-]","#L04418_Regional Difference Index of Consumer Prices (Fuel, light and water charges)[-]","#L04419_Regional Difference Index of Consumer Prices (Furniture and household utensils)[-]","#L04420_Regional Difference Index of Consumer Prices (Clothes and footwear)[-]","#L04421_Regional Difference Index of Consumer Prices (Medical care)[-]","#L04422_Regional Difference Index of Consumer Prices (Transportation and communication)[-]","#L04423_Regional Difference Index of Consumer Prices (Education)[-]","#L04424_Regional Difference Index of Consumer Prices (Culture and recreation)[-]","#L04425_Regional Difference Index of Consumer Prices (Miscellaneous)[-]","#L07201_Amount of savings per household (Two-or-more-person households)[thousand yen]","#L07212_Percentage of deposits per household (Two-or-more-person households)[%]","#L07213_Percentage of life insurance savings per household (Two-or-more-person households)[%]","#L07214_Percentage of securities savings per household (Two-or-more-person households)[%]","#L07401_Liabilities per household (Two-or-more-person households)[thousand yen]","#L07412_Percentage of liabilities for houses and land per household (Two-or-more-person households)[%]","#L07601_Annual income per household[thousand yen]","#L07602_Annual income of household head  per household[thousand yen]"
"1975100000","1975","00000","All Japan","","3,960.7","***","***","236.2","198.3","***","***","***","***","***","***","***","***","***","***","***","***","***","77.0","14.8","11.2","1.1","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","11.7","11.8","***","13.0","10.3","13.8","3.8","6.1","12.9","12.4","25.7","13.5","11.7","***","***","95.1","***","96.8","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1975100000","1975","01000","Hokkaido","","4,292.0","***","***","226.9","198.9","***","***","***","***","***","***","***","***","***","***","***","***","***","78.5","16.4","13.0","0.5","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","13.1","13.0","***","14.7","14.1","14.1","7.2","6.7","12.4","10.8","25.1","13.5","12.1","***","***","96.2","***","97.1","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1975100000","1975","02000","Aomori-ken","","3,510.0","***","***","264.6","216.5","***","***","***","***","***","***","***","***","***","***","***","***","***","70.0","23.9","20.8","3.1","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","11.3","11.2","***","11.1","12.2","10.4","3.9","6.5","12.4","18.0","20.8","12.7","14.9","***","***","92.4","***","90.4","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1975100000","1975","03000","Iwate-ken","","3,538.0","***","***","234.2","199.3","***","***","***","***","***","***","***","***","***","***","***","***","***","73.9","17.0","14.2","0.7","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","13.5","13.5","***","13.7","13.9","13.4","7.8","11.6","11.8","13.7","22.6","12.9","18.2","***","***","92.1","***","93.9","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1975100000","1975","04000","Miyagi-ken","","4,062.5","***","***","250.1","211.9","***","***","***","***","***","***","***","***","***","***","***","***","***","78.1","13.6","10.2","1.5","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","11.9","11.9","***","12.2","11.4","15.0","4.1","5.1","13.6","13.2","28.8","15.1","9.6","***","***","95.8","***","96.5","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1975100000","1975","05000","Akita-ken","","3,593.3","***","***","243.3","213.4","***","***","***","***","***","***","***","***","***","***","***","***","***","78.8","15.7","12.4","3.5","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","10.6","10.6","***","11.3","12.4","22.7","3.9","-1.1","13.3","14.4","20.9","11.7","9.7","***","***","92.0","***","92.9","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1975100000","1975","06000","Yamagata-ken","","4,182.7","***","***","270.4","189.9","***","***","***","***","***","***","***","***","***","***","***","***","***","74.8","15.3","11.4","2.2","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","11.5","11.9","***","12.8","7.6","10.8","4.1","10.3","12.5","12.3","26.0","12.6","8.9","***","***","93.1","***","94.9","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1975100000","1975","07000","Fukushima-ken","","3,649.0","***","***","248.5","206.4","***","***","***","***","***","***","***","***","***","***","***","***","***","75.6","18.0","14.3","2.7","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","11.7","11.5","***","12.8","13.0","12.9","5.2","6.9","13.5","14.3","15.7","12.3","10.8","***","***","91.2","***","92.0","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1975100000","1975","08000","Ibaraki-ken","","3,966.3","***","***","215.9","194.4","***","***","***","***","***","***","***","***","***","***","***","***","***","80.3","13.8","9.8","1.4","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","11.8","11.7","***","13.1","11.5","18.1","8.2","3.2","13.1","14.6","23.6","13.0","8.6","***","***","93.8","***","95.2","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
